City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Coihaique,CL,48.81,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
166,Xian,CN,58.01,light rain,34.2583,108.9286,Grand New World Hotel
167,Ginir,ET,61.68,clear sky,7.1333,40.7,Sura Dare Village
168,Bandarbeyla,SO,79.2,light rain,9.4942,50.8122,JABIR HOTEL
169,Kapaa,US,71.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
170,Emerald,AU,82.54,scattered clouds,-23.5333,148.1667,The Irish Village
172,Ygatimi,PY,80.38,moderate rain,-24.0833,-55.5,
173,Caravelas,BR,83.34,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
174,Kalmunai,LK,80.01,broken clouds,7.4167,81.8167,VS Villa
175,Mitu,CO,80.53,overcast clouds,1.1983,-70.1733,
176,Itirucu,BR,79.97,broken clouds,-13.5317,-40.1503,Casa Amarela
177,Lebu,CL,54.81,broken clouds,-37.6167,-73.65,Hostal Las Lilas
178,Krasnyye Barrikady,RU,53.56,clear sky,46.2045,47.8535,Gostinitsa
180,Marzuq,YE,78.42,overcast clouds,14.4,46.4667,
181,Buala,SB,80.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
182,Wewak,PG,81.25,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
183,Constitucion,CL,64.71,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
184,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
185,Komsomolskiy,UZ,49.42,clear sky,40.4272,71.7189,Ikathouse
187,Nanortalik,GL,35.11,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
188,Yulara,AU,57.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
189,Helena,US,36.32,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
190,Bogovarovo,RU,43.38,overcast clouds,58.9785,47.0246,
191,Hasaki,JP,59.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
192,China,MX,73.09,clear sky,25.7,-99.2333,González Reyes Artemio
193,Chipurupalle,IN,75.96,broken clouds,18.3,83.5667,Facor Alloys Limited
194,Mehamn,NO,39.25,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
195,Valparaiso,CL,62.83,haze,-33.0393,-71.6273,Hotel Ultramar
196,Luganville,VU,78.57,clear sky,-15.5333,167.1667,The Espiritu Hotel
197,Gazanjyk,TM,60.17,overcast clouds,39.2446,55.5154,Railway motel
198,Omboue,GA,78.46,light rain,-1.5746,9.2618,Hotel Olako
199,Broken Hill,AU,53.31,broken clouds,-31.95,141.4333,Royal Exchange Hotel
200,Makakilo City,US,71.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
201,Kaili,ID,66.99,heavy intensity rain,-3.4626,120.2147,
202,Barranca,PE,65.03,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
205,Ridgecrest,US,59.65,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
206,Poshekhonye,RU,45.03,scattered clouds,58.4993,39.1353,Chudnoy Dvor
207,Asfi,MA,68.79,few clouds,32.2994,-9.2372,Hôtel Abda
208,Severo-Kurilsk,RU,39.58,clear sky,50.6789,156.125,Kak Doma
209,Bredasdorp,ZA,74.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
211,Eupen,BE,57.13,overcast clouds,50.6295,6.0382,Best Western Ambassador Hotel Bosten
215,Husavik,IS,39.11,overcast clouds,66.0449,-17.3389,Bjarnabúð
217,Alice Springs,AU,63.95,light rain,-23.7,133.8833,Desert Palms Alice Springs
219,Bethel,US,61.5,moderate rain,41.3712,-73.414,Courtyard by Marriott Danbury
221,Lively,CA,47.01,broken clouds,46.4334,-81.1498,Lively Inn and Suites - Sudbury
222,Saint-Honore,CA,49.3,clear sky,48.5334,-71.0824,Camping Plage Margot
224,Atherton,GB,56.21,clear sky,53.5237,-2.4935,The Lion Inn
225,Flinders,AU,58.8,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
227,Faraoani,RO,56.84,clear sky,46.4333,26.9,Popas Moldovenesc
228,Moroni,KM,82.4,scattered clouds,-11.7022,43.2551,Hotel les Arcades
229,Asosa,ET,65.41,light rain,10.0667,34.5333,Blendana Hotel Assosa
231,Mayo,US,60.78,clear sky,38.8876,-76.5119,Resorts Resource Group International
232,Manokwari,ID,77.92,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
234,Souillac,MU,77.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
235,Kasongo,CD,79.83,light rain,-4.45,26.6667,Guest Hôtel
236,Port Blair,IN,81.7,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
237,Dali,CN,55.56,clear sky,25.7,100.1833,Dali Travelling With Hostel
238,Landau,DE,52.77,overcast clouds,49.2075,8.1133,Hotel Landau Gästehaus Kleine Kalmit
239,Dunedin,NZ,59.81,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
241,Thinadhoo,MV,84.04,broken clouds,0.5333,72.9333,
242,Chuy,UY,72.73,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
243,Mae Sai,TH,72.72,scattered clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
244,Bontang,ID,76.87,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
245,Richards Bay,ZA,66.99,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
246,Chatakonda,IN,76.17,moderate rain,17.55,80.65,Hotel Surya Palace
247,Roald,NO,55.45,clear sky,62.5833,6.1333,Flem Cabins
248,Lerwick,GB,51.8,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
249,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
250,Mapastepec,MX,83.75,clear sky,15.4333,-92.9,Hotel San Carlos
