City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
102,Iaciara,BR,2021-10-30 14:41:18,-14.0958,-46.6317,93.33,28,51,5.75,broken clouds,0,0
103,Saint George,US,2021-10-30 14:36:21,37.1041,-113.5841,57.54,76,1,0.0,clear sky,0,0
104,Juneau,US,2021-10-30 14:41:18,58.3019,-134.4197,41.22,91,90,12.66,light rain,0,0
105,Birao,CF,2021-10-30 14:41:18,10.2849,22.7882,93.67,21,81,2.53,broken clouds,0,0
106,Albany,US,2021-10-30 14:36:19,42.6001,-73.9662,54.95,94,100,7.14,overcast clouds,0,0
107,Korla,CN,2021-10-30 14:41:18,41.7597,86.1469,54.48,28,100,2.75,overcast clouds,0,0
108,Hambantota,LK,2021-10-30 14:36:28,6.1241,81.1185,75.54,100,40,2.3,scattered clouds,0,0
109,Kirakira,SB,2021-10-30 14:37:01,-10.4544,161.9205,81.21,79,99,11.23,overcast clouds,0,0
110,Lebanon,US,2021-10-30 14:41:19,36.2081,-86.2911,54.59,78,90,8.05,mist,0,0
111,Tondano,ID,2021-10-30 14:36:27,1.3038,124.9112,68.09,91,94,0.69,overcast clouds,0,0
112,Lorengau,PG,2021-10-30 14:37:05,-2.0226,147.2712,82.4,78,100,6.26,overcast clouds,0,0
113,Nikolskoye,RU,2021-10-30 14:36:23,59.7035,30.7861,48.87,90,70,6.51,broken clouds,0,0
114,Hithadhoo,MV,2021-10-30 14:36:37,-0.6,73.0833,83.48,75,53,15.99,broken clouds,0,0
115,Camacha,PT,2021-10-30 14:36:40,33.0833,-16.3333,75.52,73,40,11.5,scattered clouds,0,0
116,Pimentel,PE,2021-10-30 14:41:19,-6.8367,-79.9342,66.49,72,20,6.91,few clouds,0,0
117,Hovd,MN,2021-10-30 14:36:57,48.0056,91.6419,35.13,50,73,5.01,broken clouds,0,0
118,Barrow,US,2021-10-30 14:36:29,71.2906,-156.7887,14.02,79,90,5.75,overcast clouds,0,0
119,Dagda,LV,2021-10-30 14:41:20,56.0951,27.5372,50.4,76,13,9.53,few clouds,0,0
120,Ribeira Grande,PT,2021-10-30 14:36:58,38.5167,-28.7,70.2,94,40,24.16,scattered clouds,0,0
121,Atar,MR,2021-10-30 14:36:03,20.5169,-13.0499,91.58,22,100,2.15,overcast clouds,0,0
122,Clyde River,CA,2021-10-30 14:36:59,70.4692,-68.5914,30.43,100,90,14.97,snow,0,0
123,Karratha,AU,2021-10-30 14:41:20,-20.7377,116.8463,73.99,62,0,11.43,clear sky,0,0
124,Andenes,NO,2021-10-30 14:36:42,69.3143,16.1194,40.98,75,0,8.05,clear sky,0,0
125,Provideniya,RU,2021-10-30 14:32:01,64.3833,-173.3,13.78,84,98,11.54,overcast clouds,0,0
126,Sistranda,NO,2021-10-30 14:36:50,63.7256,8.834,53.91,82,88,7.43,overcast clouds,0,0
127,Brae,GB,2021-10-30 14:41:21,60.3964,-1.353,51.71,84,100,24.25,overcast clouds,0,0
128,Itarema,BR,2021-10-30 14:41:21,-2.9248,-39.9167,85.19,59,49,14.58,scattered clouds,0,0
129,Saint-Tite,CA,2021-10-30 14:41:21,46.7334,-72.5658,45.45,67,73,12.15,broken clouds,0,0
130,Cidreira,BR,2021-10-30 14:36:23,-30.1811,-50.2056,71.49,75,83,20.76,broken clouds,0,0
131,Berlevag,NO,2021-10-30 14:36:55,70.8578,29.0864,37.96,80,90,9.24,overcast clouds,0,0
132,Khatanga,RU,2021-10-30 14:33:04,71.9667,102.5,2.95,95,100,1.95,overcast clouds,0,0
133,Shakawe,BW,2021-10-30 14:41:21,-18.3667,21.85,95.43,20,63,5.59,broken clouds,0,0
134,Vanino,RU,2021-10-30 14:41:21,49.0869,140.2543,41.47,78,95,9.98,overcast clouds,0,0
135,Nueva Concepcion,GT,2021-10-30 14:41:22,14.2,-91.3,81.75,73,100,1.9,overcast clouds,0,0
136,Saint-Philippe,RE,2021-10-30 14:36:16,-21.3585,55.7679,76.55,81,62,6.04,broken clouds,0,0
137,Coquimbo,CL,2021-10-30 14:36:59,-29.9533,-71.3436,55.13,94,90,11.5,light intensity drizzle,0,0
138,Sao Joao Da Barra,BR,2021-10-30 14:36:25,-21.6403,-41.0511,77.09,84,100,12.5,overcast clouds,0,0
139,Pandan,PH,2021-10-30 14:41:22,14.0453,124.1694,81.16,71,81,14.72,broken clouds,0,0
140,Vestmanna,FO,2021-10-30 14:41:22,62.1564,-7.1664,47.32,93,75,3.44,broken clouds,0,0
141,Lata,PT,2021-10-30 14:36:38,40.1629,-8.3327,68.04,72,99,5.39,overcast clouds,0,0
142,Xining,CN,2021-10-30 14:36:40,36.6167,101.7667,38.8,57,98,5.88,overcast clouds,0,0
143,Avera,US,2021-10-30 14:36:29,33.194,-82.5271,59.38,64,63,13.04,broken clouds,0,0
144,Mahebourg,MU,2021-10-30 14:36:22,-20.4081,57.7,77.25,78,40,6.91,scattered clouds,0,0
145,Isangel,VU,2021-10-30 14:36:39,-19.55,169.2667,74.52,84,3,4.68,clear sky,0,0
146,Tamiahua,MX,2021-10-30 14:41:23,21.2667,-97.45,76.35,68,34,3.94,scattered clouds,0,0
147,Bambous Virieux,MU,2021-10-30 14:41:23,-20.3428,57.7575,77.22,78,40,6.91,scattered clouds,0,0
148,Bathsheba,BB,2021-10-30 14:36:27,13.2167,-59.5167,86.61,66,40,17.27,scattered clouds,0,0
149,Talnakh,RU,2021-10-30 14:36:15,69.4865,88.3972,18.16,96,100,4.34,light snow,0,0
150,Upington,ZA,2021-10-30 14:36:25,-28.4478,21.2561,84.58,20,0,4.61,clear sky,0,0
151,Miass,RU,2021-10-30 14:41:23,55.045,60.1083,36.46,94,100,15.03,overcast clouds,0,0
152,Saint-Augustin,CA,2021-10-30 14:41:23,51.226,-58.6502,49.51,32,8,3.85,clear sky,0,0
153,Hit,IQ,2021-10-30 14:41:23,33.6416,42.8251,80.55,33,100,7.99,overcast clouds,0,0
154,Mama,RU,2021-10-30 14:41:24,58.3106,112.8986,25.63,81,100,6.49,overcast clouds,0,0
155,Orocue,CO,2021-10-30 14:41:24,4.7912,-71.3354,78.93,82,90,6.31,overcast clouds,0,0
156,East London,ZA,2021-10-30 14:36:24,-33.0153,27.9116,67.14,72,20,20.71,few clouds,0,0
157,Tres Picos,MX,2021-10-30 14:41:24,15.8667,-93.5333,80.82,60,7,5.86,clear sky,0,0
158,Tenamaxtlan,MX,2021-10-30 14:41:24,20.2167,-104.1667,66.78,72,59,3.02,broken clouds,0,0
159,Dawlatabad,AF,2021-10-30 14:41:24,36.4141,64.9053,59.02,33,6,5.03,clear sky,0,0
160,Nushki,PK,2021-10-30 14:41:24,29.5542,66.0215,65.97,20,0,7.11,clear sky,0,0
161,Gunupur,IN,2021-10-30 14:41:24,19.0833,83.8167,75.67,91,89,0.85,overcast clouds,0,0
162,Aklavik,CA,2021-10-30 14:36:39,68.2191,-135.0107,17.6,93,90,8.05,fog,0,0
163,Mackenzie,CA,2021-10-30 14:41:25,55.2999,-123.1698,19.62,93,1,4.61,clear sky,0,0
164,Lagoa,PT,2021-10-30 14:36:40,39.05,-27.9833,70.03,90,100,26.66,overcast clouds,0,0
165,Coihaique,CL,2021-10-30 14:41:25,-45.5752,-72.0662,48.81,53,20,5.75,few clouds,0,0
166,Xian,CN,2021-10-30 14:41:25,34.2583,108.9286,58.01,62,100,1.34,light rain,0,0
167,Ginir,ET,2021-10-30 14:41:25,7.1333,40.7,61.68,38,7,3.36,clear sky,0,0
168,Bandarbeyla,SO,2021-10-30 14:41:25,9.4942,50.8122,79.2,78,9,12.62,light rain,0,0
169,Kapaa,US,2021-10-30 14:41:25,22.0752,-159.319,71.58,82,1,9.22,clear sky,0,0
170,Emerald,AU,2021-10-30 14:41:25,-23.5333,148.1667,82.54,39,40,6.91,scattered clouds,0,0
171,Pevek,RU,2021-10-30 14:36:30,69.7008,170.3133,1.02,94,100,6.22,overcast clouds,0,0
172,Ygatimi,PY,2021-10-30 14:41:26,-24.0833,-55.5,80.38,81,100,1.16,moderate rain,0,0
173,Caravelas,BR,2021-10-30 14:36:26,-17.7125,-39.2481,83.34,55,60,8.95,broken clouds,0,0
174,Kalmunai,LK,2021-10-30 14:41:26,7.4167,81.8167,80.01,81,66,7.74,broken clouds,0,0
175,Mitu,CO,2021-10-30 14:41:26,1.1983,-70.1733,80.53,78,95,2.35,overcast clouds,0,0
176,Itirucu,BR,2021-10-30 14:41:26,-13.5317,-40.1503,79.97,48,73,6.11,broken clouds,0,0
177,Lebu,CL,2021-10-30 14:36:30,-37.6167,-73.65,54.81,68,84,20.58,broken clouds,0,0
